gene_name,HA,PD,YG
ALDH1L1,0.531927158689073,0.10441225365502,0.375344657110593
ALDH2,0.0553127516308742,0.00658048100013032,-0.0500359827704911
ALDH3A2,0.614993851066616,0.482553293243287,0.471511839642958
ALDH4A1,0.141689768783787,0.29620130469434,0.272135602428847
ALDH5A1,0.4894744461611,0.0489938274667978,0.131437478051588
ALDH6A1,0.650563368066795,0.510309477914238,0.446693251033131
ALDH7A1,0.464347156502785,0.182993828773767,0.635829701671786
ALDH9A1,0.321394838798548,0.224859198033738,-0.663758952820109
ALDOA,0.016643564537594,0.571265502130376,0.995082583444743
ALDOC,0.346482278135384,0.181073058570206,0.942778792865475
AMER2,0.0094449868342238,0.30668405208344,-0.656829819535833
AMPH,-0.203400167374065,0.171392251619546,0.508748807527294
ANK1,0.113700581111255,-0.0980410528352795,0.532918980231436
ANK2,-0.152775484162848,0.167374452010033,-0.055597482987305
ANK3,-0.0370088657364235,0.191589716658315,-0.000793750009032753
ANKFY1,-0.131357019005795,0.787860811089598,-0.393211739874823
ANKIB1,0.16898925352783,0.39864984615502,-0.396797102164516
ANKMY2,-0.0830292832603235,0.346361487215937,0.465345941027179
ANKS1B,0.00215041763303332,0.123535186575602,0.53512707776174
ANLN,-0.0443684646134756,0.307453726135847,-0.414712902322971
ANXA11,-0.0731824893488557,-0.0992073645792587,0.0375579390608772
ANXA5,0.553299645474796,0.342218573529594,0.42621295447697
ANXA6,0.262908733460309,-0.0670088720281059,0.9867251206555
ANXA7,-0.625745560985482,-0.528855315846677,0.0828541460815077
AP1B1,-0.0621830836990768,-0.216767164112641,0.447662885806239
AP1M1,-0.306108161197068,0.115849358662035,0.1966866431381
AP1S1,0.0637284588285983,-0.300371523379673,-0.855011453190232
AP2B1,-0.143800920322629,0.137131277659821,-0.286301123521418
AP2M1,-0.552217440773743,-0.153076409488871,0.178544719499441
AP2S1,-0.236153803609817,0.0274937311634313,-0.151627517511657
AP3B2,-0.266301507066535,-0.285837525919634,0.940934218763366
AP3M2,0.405145169339837,-0.0927495065664894,0.669068860839114
AP3S1,-0.289630752522757,0.123914011950966,0.458983314568926
APBA1,-0.311078517202637,-0.106151287218184,-0.00893353177234213
APEH,0.0943189766218612,0.555409879988949,0.247321268524058
APEX1,0.672412739912988,-0.182323890944898,0.758053891914803
API5,0.56892619615842,-0.0977442667825014,0.972255771766926
APLP1,-0.0616726432980129,-0.0373502640386759,-0.467946690543164
APLP2,-0.821015374082351,-0.161761948222401,0.265036636409679
APMAP,-0.339062664015736,-0.332815970871538,0.823561772959324
APOD,0.256778513288904,0.291742515744443,0.523937898763681
APOE,0.623711700753926,-0.0198559981457923,0.652594698359307
APOL2,0.285438082399512,0.109702041803181,0.445120308817857
APP,-0.116207425064219,-0.311705959734183,-0.203994359898345
APPL2,0.607490596471813,0.518399318479502,0.906531453440908
AQP1,0.639179712680189,-0.185374686786739,0.0949845734107739
AQP4,0.521632133590992,0.585427864428441,0.719029289932319
ARF3,-0.047883743908025,-0.418003415261063,0.203069050329343
ARF4,-0.0668970119812735,-0.141961643723921,0.952468786814566
ARF5,0.64308534744262,-0.152893089775419,0.317024162958898
ARF6,-0.294510930578081,-0.249955256744461,0.881976608360733
ARFGAP2,0.0284697775999273,0.383145168421934,-0.713807288930618
ARFGEF2,-0.280935395301887,-0.0523844435899997,0.748082622283531
ARFGEF3,0.0696788967683974,-0.0490095809099641,0.554330591434675
ARFIP2,-0.137314887698522,-0.148394866723067,-0.209534101324049
ARHGAP1,0.402706804200285,0.207826805743953,0.194115407796525
ARHGAP21,0.140184645823705,0.219572973332692,0.211646341502846
ARHGAP23,0.0265835463534373,0.296786925733312,0.558476810317058
ARHGAP26,-0.376742724783321,-0.0834257510953711,0.471500058217877
ARHGAP32,0.00170337564751423,0.0571212860662488,-0.420467249406618
ARHGAP35,0.300756567496007,-0.040219936339187,-0.503473062695308
ARHGAP39,-0.413359356067214,-0.482552913396962,0.103096957615378
ARHGAP44,-0.241246750298068,-0.10714835549716,0.95915709314874
ARHGAP5,-0.186240901788586,0.178666814523736,0.0239265101366586
ARHGEF11,-0.0740060707514227,0.15684211752688,0.62553226783035
ARHGEF2,-0.465519056644699,0.145124836804945,0.237309509082615
ARHGEF7,-0.535636503869911,0.0711222700078134,0.0363393306932219
ARL1,0.025088831936558,-0.128704810898305,0.0266926168726765
ARL15,-0.138458449902524,0.0316669528622731,0.831695439659301
ARL2,-0.123397739074095,0.230755715281166,-0.202294106380775
ARL3,-0.280416436174844,0.0609170732677592,0.0184650585796002
ARL6IP1,0.0469475449463331,0.259824888845466,0.359345635187718
ARL6IP5,0.281160697918614,-0.0283833958442906,-0.391880813406338
ARL8A,0.0625756535087847,0.105134396063891,0.351302592171387
ARL8B,0.260686205423132,-0.0492901395453477,-0.494719659841395
ARMC1,-0.317431142023342,-0.150161277074192,0.174242051481554
ARMC10,-0.36510488973974,0.0838307972739546,0.500443759335258
ARMT1,0.332319111634869,0.20064350722654,0.394424589247308
ARPC1A,0.250571109187882,0.143421459651716,0.412596338628083
ARPC2,0.0178187640437352,-0.169976411429317,0.835745511903873
ARPC3,-0.288516670730685,0.311624839148422,0.505575157827742
ARPC4,-0.167768597787195,0.0543711415026903,-0.0306544960258397
ARPC5,-0.226450331064725,-0.0963665897065226,0.672650275530354
ARPC5L,-0.284799905955874,-0.156868030293941,0.974330310862783
ARPIN,0.463934335700496,0.473764880813514,0.67879640254313
ARPP19,0.513984885730705,-0.368121341320788,-0.0235956751799563
ARRB1,-0.140031583066927,0.529607512129631,-0.347662832172116
